weight_lb,pressure_alt_ft,temperature_c,rpm,bhp_percent,ktas,gph
1670,2000,-9,2300,71,95,5.7
1670,2000,-9,2200,62,90,5.1
1670,2000,-9,2100,55,85,4.5
1670,2000,-9,2000,49,79,4.1
1670,2000,11,2400,75,99,6.1
1670,2000,11,2300,66,94,5.4
1670,2000,11,2200,59,89,4.8
1670,2000,11,2100,53,84,4.3
1670,2000,11,2000,47,78,3.9
1670,2000,31,2400,70,99,5.7
1670,2000,31,2300,63,93,5.1
1670,2000,31,2200,56,88,4.6
1670,2000,31,2100,51,83,4.2
1670,2000,31,2000,46,77,3.8
1670,4000,-13,2400,76,100,6.1
1670,4000,-13,2300,67,94,5.4
1670,4000,-13,2200,60,89,4.8
1670,4000,-13,2100,53,84,4.4
1670,4000,-13,2000,48,79,3.9
1670,4000,7,2450,75,101,6.1
1670,4000,7,2400,71,99,5.7
1670,4000,7,2300,63,93,5.1
1670,4000,7,2200,56,88,4.6
1670,4000,7,2100,51,83,4.2
1670,4000,7,2000,46,78,3.8
1670,4000,27,2450,70,100,5.7
1670,4000,27,2400,67,98,5.4
1670,4000,27,2300,60,93,4.9
1670,4000,27,2200,54,87,4.4
1670,4000,27,2100,49,82,4
1670,4000,27,2000,45,76,3.7
1670,6000,-17,2400,72,99,5.8
1670,6000,-17,2300,64,94,5.2
1670,6000,-17,2200,57,88,4.6
1670,6000,-17,2100,51,83,4.2
1670,6000,-17,2000,43,78,3.8
1670,6000,3,2500,75,103,6.1
1670,6000,3,2400,67,98,5.4
1670,6000,3,2300,60,93,4.9
1670,6000,3,2200,54,87,4.4
1670,6000,3,2100,49,82,4
1670,6000,3,2000,45,77,3.7
1670,6000,23,2500,71,102,5.7
1670,6000,23,2400,64,97,5.2
1670,6000,23,2300,57,92,4.7
1670,6000,23,2200,52,86,4.3
1670,6000,23,2100,48,81,3.9
1670,6000,23,2000,44,75,3.6
1670,8000,-21,2500,76,103,6.2
1670,8000,-21,2400,68,98,5.5
1670,8000,-21,2300,61,93,5
1670,8000,-21,2200,55,88,4.5
1670,8000,-21,2100,49,82,4.1
1670,8000,-1,2550,75,105,6.1
1670,8000,-1,2500,71,102,5.8
1670,8000,-1,2400,64,97,5.2
1670,8000,-1,2300,58,92,4.7
1670,8000,-1,2200,52,87,4.3
1670,8000,-1,2100,48,81,3.9
1670,8000,19,2550,71,104,5.7
1670,8000,19,2500,67,101,5.4
1670,8000,19,2400,61,96,4.9
1670,8000,19,2300,55,91,4.5
1670,8000,19,2200,51,85,4.2
1670,8000,19,2100,46,80,3.8
1670,10000,-25,2500,72,103,5.8
1670,10000,-25,2400,65,97,5.3
1670,10000,-25,2300,58,92,4.7
1670,10000,-25,2200,53,87,4.3
1670,10000,-25,2100,48,81,4
1670,10000,-5,2500,68,101,5.5
1670,10000,-5,2400,61,96,5
1670,10000,-5,2300,56,91,4.5
1670,10000,-5,2200,51,86,4.2
1670,10000,-5,2100,46,80,3.9
1670,10000,15,2500,64,101,5.2
1670,10000,15,2400,58,95,4.8
1670,10000,15,2300,53,90,4.4
1670,10000,15,2200,49,84,4
1670,10000,15,2100,45,79,3.8
1670,12000,-29,2450,65,99,5.3
1670,12000,-29,2400,62,97,5
1670,12000,-29,2300,56,91,4.6
1670,12000,-29,2200,51,86,4.2
1670,12000,-29,2100,47,80,3.9
1670,12000,-9,2450,62,98,5
1670,12000,-9,2400,59,95,4.8
1670,12000,-9,2300,54,90,4.4
1670,12000,-9,2200,49,85,4.1
1670,12000,-9,2100,45,79,3.8
1670,12000,11,2450,59,97,4.8
1670,12000,11,2400,56,94,4.6
1670,12000,11,2300,52,89,4.3
1670,12000,11,2200,48,83,4
1670,12000,11,2100,44,77,3.7
