weight_lb,pressure_alt_ft,temperature_c,groundroll_ft,obstacle_clearance_ft
1670,0,0,450,1160
1670,1000,0,465,1185
1670,2000,0,485,1215
1670,3000,0,500,1240
1670,4000,0,520,1275
1670,5000,0,540,1305
1670,6000,0,560,1340
1670,7000,0,585,1375
1670,8000,0,605,1410
1670,0,10,465,1185
1670,1000,10,485,1215
1670,2000,10,500,1240
1670,3000,10,520,1275
1670,4000,10,540,1305
1670,5000,10,560,1335
1670,6000,10,580,1370
1670,7000,10,605,1410
1670,8000,10,630,1450
1670,0,20,485,1215
1670,1000,20,500,1240
1670,2000,20,520,1270
1670,3000,20,540,1305
1670,4000,20,560,1335
1670,5000,20,580,1370
1670,6000,20,605,1410
1670,7000,20,625,1440
1670,8000,20,650,1480
1670,0,30,500,1240
1670,1000,30,520,1270
1670,2000,30,535,1300
1670,3000,30,560,1335
1670,4000,30,580,1370
1670,5000,30,600,1400
1670,6000,30,625,1440
1670,7000,30,650,1480
1670,8000,30,675,1520
1670,0,40,515,1265
1670,1000,40,535,1295
1670,2000,40,555,1330
1670,3000,40,575,1360
1670,4000,40,600,1400
1670,5000,40,620,1435
1670,6000,40,645,1475
1670,7000,40,670,1515
1670,8000,40,695,1555
