weight_lb,pressure_alt_ft,temperature_c,groundroll_ft,obstacle_clearance_ft
1670,0,0,640,1190
1670,1000,0,705,1310
1670,2000,0,775,1445
1670,3000,0,855,1600
1670,4000,0,940,1775
1670,5000,0,1040,1970
1670,6000,0,1145,2200
1670,7000,0,1270,2470
1670,8000,0,1405,2800
1670,0,10,695,1290
1670,1000,10,765,1420
1670,2000,10,840,1565
1670,3000,10,925,1730
1670,4000,10,1020,1920
1670,5000,10,1125,2140
1670,6000,10,1245,2395
1670,7000,10,1375,2705
1670,8000,10,1525,3080
1670,0,20,755,1390
1670,1000,20,825,1530
1670,2000,20,910,1690
1670,3000,20,1000,1870
1670,4000,20,1100,2080
1670,5000,20,1215,2320
1670,6000,20,1345,2610
1670,7000,20,1490,2960
1670,8000,20,1655,3395
1670,0,30,810,1495
1670,1000,30,890,1645
1670,2000,30,980,1820
1670,3000,30,1080,2020
1670,4000,30,1190,2250
1670,5000,30,1315,2525
1670,6000,30,1455,2855
1670,7000,30,1615,3255
1670,8000,30,1795,3765
1670,0,40,875,1605
1670,1000,40,960,1770
1670,2000,40,1055,1960
1670,3000,40,1165,2185
1670,4000,40,1285,2440
1670,5000,40,1420,2750
1670,6000,40,1570,3125
1670,7000,40,1745,3590
1670,8000,40,1940,4195
