aerodrome,number,position,length_ft,landing_length_ft,intersection_departure_length_ft,surface_id
CYXX,1,,5328,5328,4204,1
CYXX,7,,9597,9597,,1
CYXX,19,,5328,4600,,1
CYXX,25,,9597,8400,,1
CYYF,16,,6000,6000,,1
CYYF,34,,6000,5700,,1
CBBC,13,,3702,3702,,1
CBBC,31,,3702,3702,,1
CYPK,8,R,5003,4806,,1
CYPK,8,L,2485,2485,,1
CYPK,18,,2484,2484,,1
CYPK,26,R,2485,2485,,1
CYPK,26,L,5003,4839,,1
CYPK,36,,2484,2484,,1
CYBD,5,,4200,4200,,1
CYBD,23,,4200,3994,,1
CYZT,8,,4000,4000,,1
CYZT,11,,4999,4999,,1
CYZT,16,,3984,3984,,1
CYZT,26,,4000,4000,,1
CYZT,29,,4999,4999,,1
CYZT,34,,3984,2493,,1
CYCP,1,,5066,5066,,1
CYCP,19,,5066,5066,,1
CYPW,9,,3621,3621,,1
CYPW,27,,3621,3621,,1
CYBL,12,,6499,6499,,1
CYBL,30,,6499,6499,,1
CYXS,1,,3769,2785,,1
CYXS,6,,5624,5624,,1
CYXS,15,,11450,11450,,1
CYXS,19,,3769,3396,,1
CYXS,24,,5624,5223,,1
CYXS,33,,11450,10950,,1
CYCG,15,,5299,5299,,1
CYCG,33,,5299,5299,,1
CYPR,13,,6000,6000,,1
CYPR,31,,6000,6000,,1
CYCQ,5,,4481,4481,,1
CYCQ,23,,4481,4481,,1
CYDC,4,,3932,3932,,1
CYDC,22,,3932,3932,,1
CYQZ,13,,5501,5501,,2
CYQZ,31,,5501,5501,,2
CYRV,12,,5155,5155,,1
CYRV,30,,5155,4501,,1
CYQQ,12,,9960,9960,,2
CYQQ,18,,4970,4970,,1
CYQQ,30,,9960,7450,,2
CYQQ,36,,4970,3150,,1
CYZP,13,,5112,5112,,1
CYZP,31,,5112,5112,,1
CYXC,16,,8000,7220,,1
CYXC,34,,8000,8000,,1
CYYD,15,,7545,7286,,1
CYYD,33,,7545,7283,,1
CYDQ,7,,5001,5001,,1
CYDQ,25,,5001,5001,,1
CYSW,17,,3963,3963,,1
CYSW,35,,3963,3963,,1
CYDL,3,,6003,6003,,1
CYDL,21,,6003,5601,,1
CZST,18,,3900,3900,,1
CZST,36,,3900,3900,,1
CYYE,4,,6402,6402,,1
CYYE,8,,3575,3575,,1
CYYE,22,,6402,6402,,1
CYYE,26,,3575,3575,,1
CYXT,3,,5371,5371,,1
CYXT,15,,7497,7497,,1
CYXT,21,,5371,5371,,1
CYXT,33,,7497,7497,,1
CYXJ,3,,6698,6698,,1
CYXJ,12,,6909,6909,,1
CYXJ,21,,6698,6502,,1
CYXJ,30,,6909,6909,,1
CYAZ,7,,5000,4265,,2
CYAZ,11,,5000,4500,,1
CYAZ,16,,5000,4792,,2
CYAZ,25,,5000,4642,,2
CYAZ,29,,5000,5000,,1
CYAZ,34,,5000,4113,,2
CYGE,14,,4528,4528,,1
CYGE,32,,4528,4528,,1
CYHE,7,,3960,3960,,5
CYHE,25,,3960,3960,,5
CYVR,8,R,10803,10803,5104,2
CYVR,8,L,9941,9941,6099,2
CYVR,13,,7300,7300,,2
CYVR,26,R,9941,9941,6103,2
CYVR,26,L,10803,10803,5580,2
CYVR,31,,7300,6808,,2
CYKA,4,,2780,2091,,1
CYKA,9,,8000,8000,,1
CYKA,22,,2780,2780,,1
CYKA,27,,8000,8000,,1
CZBB,7,,5606,5606,,1
CZBB,13,,5605,4505,4505,1
CZBB,25,,5606,4582,,1
CZBB,31,,5605,4505,,1
CYLW,16,,8900,7700,,1
CYLW,34,,8900,8500,,1
CYNJ,1,,2100,1996,,1
CYNJ,7,,2743,2089,,1
CYNJ,19,,2100,2004,,1
CYNJ,25,,2743,2400,,1
CYYJ,3,,5027,3622,,1
CYYJ,9,,6998,3169,4500,1
CYYJ,14,,5001,4574,3200,1
CYYJ,21,,5027,4141,1495,1
CYYJ,27,,6998,3039,4900,1
CYYJ,32,,5001,3393,,1
CYZY,17,,5033,5033,,1
CYZY,35,,5033,5033,,1
CZMT,13,,4924,4924,,1
CZMT,31,,4924,4674,,1
CYCD,16,,6602,6405,,1
CYCD,34,,6602,5600,,1
CYWL,12,,6966,6966,,1
CYWL,30,,6966,6966,,1
CYBV,9,,2888,2888,,4
CYBV,27,,2888,2888,,4
CYYL,8,,2521,2521,,3
CYYL,17,,5004,5004,,1
CYYL,26,,2521,2521,,3
CYYL,35,,5004,5004,,1
CYBR,8,,6510,6510,,1
CYBR,14,,3068,3068,,3
CYBR,26,,6510,6510,,1
CYBR,32,,3068,3068,,3
CYLJ,9,,5000,5000,,1
CYLJ,17,,2297,2297,,1
CYLJ,27,,5000,5000,,1
CYLJ,35,,2297,2297,,1
CYVT,6,,2297,2297,,1
CYVT,12,,5006,5006,,1
CYVT,24,,2297,2297,,1
CYVT,30,,5006,5006,,1
CYBW,8,,3423,3423,,1
CYBW,17,,5000,5000,,1
CYBW,26,,3423,3423,,1
CYBW,35,,5000,5000,,1
CYXH,3,,5003,5003,,1
CYXH,9,,2850,2850,,1
CYXH,21,,5003,5003,,1
CYXH,27,,2850,2850,,1
CYYC,8,,6200,6200,,1
CYYC,11,,8000,8000,,1
CYYC,17,R,12675,12675,,1
CYYC,17,L,14000,14000,,2
CYYC,26,,6200,6200,,1
CYYC,29,,8000,8000,,1
CYYC,35,R,14000,14000,,2
CYYC,35,L,12675,12675,,1
CYMJ,3,,3460,3460,,1
CYMJ,11,R,7280,7280,,1
CYMJ,11,L,8320,8320,,1
CYMJ,21,,3460,3460,,1
CYMJ,29,R,8320,8320,,1
CYMJ,29,L,7280,7280,,1
CYYQ,7,,4000,4000,,3
CYYQ,15,,9195,9195,,1
CYYQ,25,,4000,4000,,3
CYYQ,33,,9195,9195,,1
CYBU,3,,2933,2933,,1
CYBU,12,,2900,2900,,5
CYBU,21,,2933,2933,,1
CYBU,30,,2900,2900,,5
CYOD,4,,8273,8273,,1
CYOD,13,R,9999,6812,,1
CYOD,13,L,12599,6812,,1
CYOD,22,,8273,6400,,1
CYOD,31,R,12599,12599,,1
CYOD,31,L,9999,9999,,1
CYQW,6,,2572,2572,,1
CYQW,12,,5000,5000,,1
CYQW,24,,2572,2572,,1
CYQW,30,,5000,5000,,1
CYDN,2,,2110,2110,,3
CYDN,8,,2703,2703,,1
CYDN,14,,5002,5002,,1
CYDN,20,,2110,2110,,3
CYDN,26,,2703,2703,,1
CYDN,32,,5002,5002,,1
CYNE,6,,3902,3902,,4
CYNE,24,,3902,3902,,4
CYEG,2,,10995,10995,,1
CYEG,12,,10200,10200,,1
CYEG,20,,10995,10995,,1
CYEG,30,,10200,10200,,1
CYPE,4,,5000,5000,,1
CYPE,22,,5000,5000,,1
CZPC,8,,6597,6000,,1
CZPC,26,,6597,6448,,1
CYPG,2,,3033,3033,,1
CYPG,9,,2670,2670,,1
CYPG,13,R,7000,7000,,1
CYPG,13,L,3120,3120,,1
CYPG,20,,3033,3033,,1
CYPG,27,,2670,2670,,1
CYPG,31,R,3120,3120,,1
CYPG,31,L,7000,7000,,1
CZVL,8,,5001,5001,,1
CZVL,16,,3496,3496,,1
CZVL,26,,5001,5001,,1
CZVL,34,,3496,3496,,1
CYET,7,,6000,5406,,1
CYET,25,,6000,5516,,1
CYPA,8,,5001,5001,,1
CYPA,26,,5001,5001,,1
CYEN,8,,5003,5003,,1
CYEN,15,,3001,3001,,1
CYEN,26,,5003,5003,,1
CYEN,33,,3001,3001,,1
CYQF,12,,3454,3254,,1
CYQF,17,,7500,7500,,1
CYQF,30,,3454,3454,,1
CYQF,35,,7500,7500,,1
CYFO,1,,5004,5004,,1
CYFO,19,,5004,5004,,1
CYQR,8,,6200,6200,,1
CYQR,13,,7901,7901,,1
CYQR,26,,6200,6200,,1
CYQR,31,,7901,7901,,1
CYPY,4,,5000,5000,,1
CYPY,22,,5000,5000,,1
CYXE,9,,8300,8300,,1
CYXE,15,,6200,6200,,1
CYXE,27,,8300,8300,,1
CYXE,33,,6200,6200,,1
CYMM,8,,7503,7503,,1
CYMM,26,,7503,7003,,1
CYZH,10,,5569,5569,,1
CYZH,28,,5569,5012,,1
CYGX,5,,5034,5034,,3
CYGX,23,,5034,5034,,3
CYSF,6,,5052,5052,,6
CYSF,24,,5052,5052,,6
CYQU,7,,6200,6200,,1
CYQU,12,,8502,8102,,1
CYQU,25,,6200,6200,,1
CYQU,30,,8502,8502,,1
CYYN,4,,2495,2495,,1
CYYN,13,,4250,4250,,1
CYYN,22,,2495,2495,,1
CYYN,31,,4250,4250,,1
CYOJ,13,,5002,5002,,1
CYOJ,31,,5002,5002,,1
CYBQ,7,,3201,3201,,4
CYBQ,25,,3201,3021,,4
CYIV,12,,4000,4000,,4
CYIV,30,,4000,4000,,4
CYQD,13,,5901,5901,,1
CYQD,31,,5901,5901,,1
CYTH,6,,5800,5800,,1
CYTH,15,,5079,5079,,3
CYTH,24,,5800,5800,,1
CYTH,33,,5079,5079,,3
CYKJ,3,,5281,5281,,3
CYKJ,21,,5281,5281,,3
CYZU,11,,5797,5797,,1
CYZU,29,,5797,5797,,1
CYKY,8,,3507,3507,,1
CYKY,17,,2281,2281,,5
CYKY,26,,3507,3507,,1
CYKY,35,,2281,2281,,5
CYWG,13,,8841,8841,,1
CYWG,18,,11000,7279,,1
CYWG,31,,8841,8701,,1
CYWG,36,,11000,11000,,1
CYVC,11,,2396,2396,,3
CYVC,18,,5002,5002,,1
CYVC,29,,2396,2396,,3
CYVC,36,,5002,5002,,1
CYAV,4,,2852,2852,,1
CYAV,13,,3002,3002,,1
CYAV,18,,3000,3000,,1
CYAV,22,,2852,2852,,1
CYAV,31,,3002,3002,,1
CYAV,36,,3000,3000,,1
CYQL,6,,6500,6500,,1
CYQL,13,,5500,5500,,1
CYQL,24,,6500,6500,,1
CYQL,31,,5500,5500,,1
CYQV,4,,4800,4800,,1
CYQV,13,,2984,2984,,3
CYQV,22,,4800,4800,,1
CYQV,31,,2984,2984,,3
CYLL,8,,5577,5577,,1
CYLL,13,,1202,1202,,5
CYLL,26,,5577,5577,,1
CYLL,31,,1202,1202,,5
CYYW,12,,4006,4006,,1
CYYW,30,,4006,4006,,1
CYOW,4,,3300,3050,,1
CYOW,7,,8000,8000,,1
CYOW,14,,10005,6377,,1
CYOW,22,,3300,3300,,1
CYOW,25,,8000,5729,,1
CYOW,32,,10005,10005,,1
CYAT,6,,3495,3495,,3
CYAT,24,,3495,3495,,3
CYPO,11,,3520,3520,,3
CYPO,29,,3520,3520,,3
CYLA,4,,3521,3521,,3
CYLA,22,,3521,3521,,3
CYBG,11,,10000,10000,,2
CYBG,18,,6029,6029,,1
CYBG,29,,10000,10000,,2
CYBG,36,,6029,6029,,1
CYPQ,9,,7005,7005,,1
CYPQ,13,,2000,2000,,1
CYPQ,27,,7005,7005,,1
CYPQ,31,,2000,2000,,1
CYTL,14,,3906,3906,,3
CYTL,32,,3906,3906,,3
CYPL,9,,5217,5217,,1
CYPL,27,,5217,5217,,1
CYLD,5,,3006,3006,,1
CYLD,10,,5003,5003,,1
CYLD,23,,3006,3006,,1
CYLD,28,,5003,5003,,1
CYQB,9,,9000,9000,,1
CYQB,11,,5700,5700,,1
CYQB,24,,9000,5434,,1
CYQB,29,,5700,3849,,1
CYCK,6,,5502,5002,,1
CYCK,24,,5502,5002,,1
CYRL,8,,5001,5001,,1
CYRL,26,,5001,5001,,1
CYMT,4,,6495,6495,,1
CYMT,22,,6495,6495,,1
CYRJ,16,,5000,5000,,1
CYRJ,34,,5000,5000,,1
CYRC,6,,3735,3735,,1
CYRC,12,,6085,3915,,1
CYRC,18,,3597,3597,,1
CYRC,24,,3735,3735,,1
CYRC,30,,6085,5625,,1
CYRC,36,,3597,3597,,1
CYUY,8,,7500,7500,,1
CYUY,26,,7500,7500,,1
CYHD,12,,5993,5993,,1
CYHD,30,,5993,5796,,1
CZSJ,11,,3507,3507,,3
CZSJ,29,,3507,3507,,3
