weight_lb,pressure_alt_ft,temperature_c,groundroll_ft,obstacle_clearance_ft
2300,0,0,495,1205
2300,1000,0,510,1235
2300,2000,0,530,1265
2300,3000,0,550,1300
2300,4000,0,570,1335
2300,5000,0,590,1370
2300,6000,0,615,1415
2300,7000,0,640,1455
2300,8000,0,665,1500
2300,0,10,510,1235
2300,1000,10,530,1265
2300,2000,10,550,1300
2300,3000,10,570,1335
2300,4000,10,590,1370
2300,5000,10,615,1415
2300,6000,10,640,1455
2300,7000,10,660,1495
2300,8000,10,690,1540
2300,0,20,530,1265
2300,1000,20,550,1300
2300,2000,20,570,1335
2300,3000,20,590,1370
2300,4000,20,615,1410
2300,5000,20,635,1450
2300,6000,20,660,1490
2300,7000,20,685,1535
2300,8000,20,710,1580
2300,0,30,545,1295
2300,1000,30,565,1330
2300,2000,30,590,1370
2300,3000,30,610,1405
2300,4000,30,635,1445
2300,5000,30,655,1485
2300,6000,30,685,1535
2300,7000,30,710,1575
2300,8000,30,735,1620
2300,0,40,565,1330
2300,1000,40,585,1365
2300,2000,40,610,1405
2300,3000,40,630,1440
2300,4000,40,655,1480
2300,5000,40,680,1525
2300,6000,40,705,1570
2300,7000,40,730,1615
2300,8000,40,760,1665
