code,name,lat_degrees,lat_minutes,lat_seconds,lat_direction,lon_degrees,lon_minutes,lon_seconds,lon_direction,magnetic_variation,hidden
VCXYZ,264th,49,6,6,N,122,29,36,W,-16,FALSE
VCTRD,3road,49,5,23,N,122,7,29,W,-16,FALSE
VCBBB,91 Interchange,49,5,29,N,122,53,45,W,-16,FALSE
VCACT,Active Pass,48,52,24,N,123,18,18,W,-16,FALSE
VCADM,Admirals,48,27,30,N,123,25,13,W,-16,FALSE
VACHG,Air Canada Hangar,49,11,42,N,123,9,18,W,-16,FALSE
VCAHD,Albert Head,48,23,1,N,123,29,7,W,-16,FALSE
VCABN,Albion,49,11,12,N,122,33,36,W,-16,FALSE
VCGRV,Aldergrove,49,3,30,N,122,28,12,W,-16,FALSE
VCARN,Arnold,49,1,0,N,122,9,0,W,-16,FALSE
VCATO,Automall,49,3,29,N,122,48,25,W,-16,FALSE
VCBKR,Baker,48,57,42,N,122,13,24,W,-16,FALSE
VCBKN,Beacon Hill,48,24,16,N,123,21,9,W,-16,FALSE
VCBVR,Beaver Point,48,46,18,N,123,22,18,W,-16,FALSE
VCBBE,Beebe,49,9,0,N,123,19,0,W,-16,FALSE
VCBPT,Birch Point,48,56,36,N,122,49,6,W,-16,FALSE
VCBSP,Blackie Spit,49,3,34,N,122,52,47,W,-16,FALSE
VCBUE,Blue,49,14,0,N,123,26,0,W,-16,FALSE
VCBHB,Boat Harbour,49,5,30,N,123,47,55,W,-16,FALSE
VCBOW,Bowen,49,20,18,N,123,25,30,W,-16,FALSE
VCBNL,Brannen Lake,49,12,50,N,124,3,15,W,-16,FALSE
VCBWB,Brentwood Bay,48,34,48,N,123,29,12,W,-16,FALSE
VCBUF,Buffalo,49,4,42,N,124,5,0,W,-16,FALSE
VCHEM,Chemainus,48,56,6,N,123,42,6,W,-16,FALSE
VCCHY,Cherry Point,48,53,36,N,122,47,24,W,-16,FALSE
VCCYB,Clayburn,49,6,36,N,122,14,54,W,-16,FALSE
VCCLV,Cloverdale,49,6,42,N,122,43,24,W,-16,FALSE
VCPYL,Coal Pile,49,1,12,N,123,9,36,W,-16,FALSE
VCOHO,Coho,49,16,54,N,123,18,42,W,-16,FALSE
VCCOR,Cordova Bay,48,31,12,N,123,20,36,W,-16,FALSE
VCCRT,Courthouse,49,6,18,N,122,49,54,W,-16,FALSE
VCCOW,Cowichan Bay,48,44,30,N,123,36,18,W,-16,FALSE
VCDRC,D'arcy Island,48,34,0,N,123,16,42,W,-16,FALSE
VCDKY,Dockyard,48,26,14,N,123,26,10,W,-16,FALSE
VCDRY,Dory,49,15,42,N,123,30,0,W,-16,FALSE
VCEST,East Point,48,47,0,N,123,2,48,W,-16,FALSE
VCEDG,Edge,49,0,0,N,123,16,42,W,-16,FALSE
VCEMY,Emmy,49,4,12,N,122,20,26,W,-16,FALSE
VCENT,Entrance Island,49,12,24,N,123,48,24,W,-16,FALSE
VCEVR,Everson,48,55,48,N,122,19,24,W,-16,FALSE
VCXIT,Exit,49,11,48,N,123,30,48,W,-16,FALSE
